Student_ID,Age,Gender,Field_of_Study,Year_of_Study,University_Location,GPA,Relevant_Coursework,Prior_Employment,Employment_Type,Entrepreneurial_Experience,Startup_Participation,Career_Interests,Entrepreneurial_Aspirations,Career_Guidance_Satisfaction,Recommended_Career_Path,Entrepreneurship_Suitability_Score,Top_Recommended_Industries,Predicted_Job_Success_Probability,User_Satisfaction,Followed_Recommendations,Employment_Status_Post_Graduation
S0041,24,Female,Science,3,Region A,2.43,1,0,Full-Time,1,0,Design,High,7,Healthcare,34,Finance,77,10,1,Employed
S0042,21,Male,Law,3,Region A,2.84,0,0,Internship,0,1,Tech,High,9,Healthcare,42,Finance,16,1,1,Self-Employed
S0043,26,Male,Science,2,Region B,2.02,0,1,Internship,1,1,Business,Medium,3,Design,49,Education,71,5,0,Self-Employed
S0044,20,Male,Science,4,Region A,3.72,1,0,Full-Time,1,0,Tech,High,3,Healthcare,2,Healthcare,97,9,0,Unemployed
S0045,22,Male,Science,4,Region C,3.46,1,1,Part-Time,1,1,Finance,Medium,8,Business,90,Healthcare,89,9,1,Self-Employed
S0046,20,Male,Law,4,Region A,3.89,0,0,Internship,1,1,Business,Medium,4,Design,58,Education,93,4,0,Unemployed
S0047,24,Female,Science,2,Region C,3.56,1,0,Internship,1,1,Tech,Low,8,Design,27,Design,85,7,0,Self-Employed
S0048,22,Female,Business,4,Region A,2.63,0,1,Part-Time,1,1,Healthcare,Low,5,Business,45,Tech,79,7,0,Self-Employed
S0049,26,Male,Law,3,Region C,2.5,1,1,Full-Time,1,1,Finance,Medium,3,Finance,63,Tech,93,4,0,Employed
S0050,24,Female,Science,1,Region C,3.4,1,0,Internship,1,1,Design,Medium,4,Finance,69,Design,79,5,0,Self-Employed
S0051,19,Female,Law,3,Region A,2.73,1,0,Part-Time,1,1,Tech,Low,4,Finance,46,Education,37,9,0,Employed
S0052,21,Male,Arts,3,Region A,3.13,1,1,Part-Time,1,0,Finance,High,8,Healthcare,13,Finance,23,7,1,Self-Employed
S0053,26,Female,Business,1,Region C,2.01,0,0,Internship,1,1,Finance,High,6,Business,6,Healthcare,99,7,1,Self-Employed
S0054,29,Other,Science,3,Region B,2.12,1,1,Full-Time,1,1,Design,High,7,Design,73,Finance,98,10,1,Self-Employed
S0055,19,Male,Arts,2,Region A,3.07,1,1,Internship,0,1,Design,Medium,9,Design,78,Healthcare,5,7,1,Employed
S0056,27,Male,Arts,1,Region B,3.13,1,0,Part-Time,1,1,Design,Low,6,Design,30,Finance,67,9,0,Unemployed
S0057,26,Female,Law,3,Region A,3.5,1,1,Internship,1,1,Tech,High,3,Healthcare,92,Education,81,5,0,Employed
S0058,27,Female,Arts,5,Region A,2.26,1,0,Full-Time,0,1,Design,Low,3,Healthcare,80,Education,5,6,0,Self-Employed
S0059,22,Male,Business,3,Region A,3.03,1,1,Part-Time,0,1,Healthcare,Low,3,Finance,50,Design,25,3,1,Unemployed
S0060,19,Female,Business,2,Region A,2.39,1,0,Full-Time,1,1,Finance,Medium,10,Healthcare,28,Finance,100,1,1,Self-Employed
S0061,21,Female,Engineering,4,Region B,2.19,0,1,Internship,1,1,Design,High,2,Finance,14,Finance,90,2,0,Employed
S0062,29,Female,Business,3,Region A,2.82,0,0,Internship,1,1,Finance,Low,1,Finance,89,Design,40,8,0,Employed
S0063,29,Female,Arts,4,Region C,2.33,1,0,Full-Time,0,1,Business,Medium,10,Design,75,Design,74,1,1,Unemployed
S0064,24,Female,Business,5,Region C,2.44,1,1,Internship,0,1,Business,Medium,1,Healthcare,24,Education,37,10,1,Employed
S0065,29,Male,Law,3,Region B,2.64,1,1,Full-Time,1,1,Design,Medium,4,Finance,60,Education,79,7,1,Self-Employed
S0066,25,Male,Engineering,1,Region A,2.52,0,1,Internship,1,1,Finance,High,3,Business,40,Finance,82,5,0,Unemployed
S0067,20,Female,Arts,4,Region C,2.18,1,0,Full-Time,0,0,Business,High,5,Business,68,Education,42,6,0,Self-Employed
S0068,18,Female,Engineering,5,Region B,2.18,1,1,Full-Time,1,1,Design,Medium,9,Healthcare,3,Education,52,8,1,Unemployed
S0069,21,Male,Arts,1,Region A,2.39,1,0,Part-Time,1,1,Finance,High,8,Design,56,Finance,14,4,1,Unemployed
S0070,19,Female,Law,1,Region C,2.1,1,0,Part-Time,0,0,Design,High,9,Design,30,Design,89,6,1,Self-Employed
S0071,25,Female,Engineering,1,Region C,3.25,1,1,Full-Time,0,1,Finance,Low,5,Finance,2,Finance,55,3,1,Employed
S0072,21,Male,Science,1,Region B,2.57,1,0,Internship,0,1,Business,Medium,8,Healthcare,66,Tech,55,7,1,Self-Employed
S0073,19,Female,Arts,3,Region A,2.56,1,1,Internship,1,1,Design,Medium,4,Business,89,Finance,30,2,1,Employed
S0074,23,Female,Science,3,Region A,2.66,1,1,Internship,1,1,Business,High,5,Finance,49,Tech,82,8,0,Employed
S0075,23,Female,Engineering,3,Region C,3.33,1,1,Full-Time,1,1,Design,Medium,3,Finance,16,Finance,56,7,0,Self-Employed
S0076,27,Female,Science,5,Region C,3.74,1,1,Full-Time,1,1,Tech,Medium,5,Tech,59,Tech,50,8,1,Unemployed
S0077,21,Male,Science,5,Region C,3.52,1,1,Full-Time,1,1,Business,Medium,3,Healthcare,73,Tech,23,2,0,Self-Employed
S0078,23,Female,Engineering,5,Region A,3.46,0,0,Full-Time,1,0,Business,High,5,Finance,65,Finance,57,3,1,Unemployed
S0079,19,Male,Law,2,Region B,2.97,0,1,Part-Time,1,1,Healthcare,High,5,Business,87,Education,72,4,1,Employed
S0080,27,Male,Science,5,Region B,3.39,1,0,Full-Time,0,1,Business,High,6,Tech,74,Healthcare,86,9,1,Unemployed
S0081,29,Female,Science,3,Region A,3.11,1,0,Internship,1,1,Finance,Low,9,Business,23,Education,3,5,1,Self-Employed
S0082,19,Male,Law,3,Region B,2.43,1,1,Part-Time,1,0,Design,Medium,1,Design,98,Tech,9,6,1,Unemployed
S0083,27,Male,Science,2,Region C,2.42,0,1,Internship,1,1,Tech,Low,10,Tech,86,Finance,62,1,1,Employed
S0084,21,Female,Science,2,Region B,2.59,1,1,Full-Time,1,1,Finance,High,6,Tech,31,Finance,72,4,1,Employed
S0085,25,Male,Science,5,Region B,3.82,1,0,Part-Time,0,1,Finance,Low,1,Finance,86,Finance,82,4,1,Unemployed
S0086,24,Male,Business,4,Region B,3.09,0,1,Full-Time,1,1,Finance,Medium,6,Design,97,Finance,14,10,1,Employed
S0087,29,Female,Law,2,Region C,3.47,1,0,Part-Time,1,0,Finance,Medium,2,Finance,18,Healthcare,97,8,0,Employed
S0088,26,Female,Science,1,Region A,2.69,0,1,Internship,1,1,Tech,High,8,Healthcare,65,Design,62,8,1,Unemployed
S0089,25,Male,Law,3,Region C,2.82,1,1,Full-Time,1,1,Healthcare,High,3,Business,59,Tech,18,10,1,Employed
S0090,22,Female,Arts,1,Region A,2.25,1,1,Full-Time,1,1,Business,Low,10,Business,65,Healthcare,62,6,1,Unemployed
S0091,19,Female,Arts,3,Region A,2.34,0,0,Part-Time,1,0,Finance,High,6,Finance,14,Education,55,8,0,Unemployed
S0092,22,Female,Science,3,Region A,3.65,1,0,Part-Time,1,1,Business,Low,6,Business,84,Design,20,9,1,Employed
S0093,25,Female,Law,2,Region B,3.17,1,0,Full-Time,1,1,Business,Medium,4,Business,34,Design,33,5,1,Unemployed
S0094,27,Other,Law,2,Region B,2.68,1,1,Part-Time,1,0,Finance,Medium,5,Healthcare,68,Finance,16,1,1,Employed
S0095,26,Female,Law,1,Region A,3.61,0,1,Full-Time,1,1,Healthcare,Medium,2,Design,26,Healthcare,17,1,1,Employed
S0096,29,Female,Business,3,Region A,2.49,0,0,Part-Time,1,0,Business,Medium,10,Tech,87,Education,80,2,1,Employed
S0097,29,Female,Arts,1,Region B,3.95,0,1,Internship,1,1,Design,Medium,10,Finance,6,Finance,65,2,0,Self-Employed
S0098,29,Male,Law,4,Region C,2.69,1,1,Part-Time,0,1,Business,Low,8,Finance,5,Finance,50,5,1,Employed
S0099,26,Male,Law,1,Region A,2.67,1,1,Internship,0,0,Finance,Medium,10,Healthcare,32,Tech,64,7,0,Unemployed
S0100,18,Female,Business,5,Region C,2.62,1,1,Part-Time,1,0,Tech,Low,7,Healthcare,57,Design,42,7,1,Unemployed
S0101,26,Female,Business,1,Region B,2.24,1,1,Part-Time,1,1,Business,Medium,10,Tech,48,Education,56,4,1,Unemployed
S0102,24,Female,Law,5,Region A,2.22,1,0,Full-Time,1,0,Healthcare,Low,6,Design,16,Design,9,4,1,Self-Employed
S0103,26,Male,Engineering,5,Region C,3.3,1,0,Part-Time,1,1,Design,Low,7,Finance,41,Healthcare,36,10,1,Self-Employed
S0104,25,Female,Law,5,Region C,3.75,1,0,Part-Time,0,1,Design,Low,1,Healthcare,93,Tech,47,3,1,Unemployed
S0105,18,Male,Law,4,Region C,3.58,0,1,Internship,1,1,Tech,High,5,Finance,71,Finance,68,2,0,Unemployed
S0106,29,Male,Business,1,Region B,2.28,1,1,Part-Time,1,1,Tech,Low,7,Business,39,Tech,55,3,0,Self-Employed
S0107,25,Female,Business,1,Region B,3.09,0,1,Full-Time,1,0,Business,Low,1,Finance,45,Finance,75,8,1,Unemployed
S0108,25,Female,Law,4,Region C,2.21,0,0,Internship,1,1,Finance,Medium,2,Design,70,Tech,35,1,1,Employed
S0109,28,Female,Law,3,Region C,2.09,1,1,Full-Time,1,0,Healthcare,Low,9,Design,69,Finance,30,4,1,Employed
S0110,20,Female,Law,2,Region B,3.31,1,0,Full-Time,0,1,Design,Low,3,Finance,67,Design,54,7,0,Unemployed
S0111,18,Male,Business,1,Region C,3.07,0,0,Full-Time,1,1,Tech,High,6,Business,0,Design,37,5,0,Employed
S0112,25,Female,Law,2,Region C,2.16,1,1,Full-Time,0,1,Healthcare,Medium,7,Design,78,Design,72,2,0,Unemployed
S0113,20,Male,Law,4,Region B,2.07,1,1,Internship,1,0,Finance,High,9,Healthcare,94,Design,89,1,0,Self-Employed
S0114,20,Female,Science,3,Region C,3.98,1,1,Part-Time,1,1,Design,High,5,Finance,88,Tech,14,6,1,Unemployed
S0115,18,Female,Engineering,3,Region C,2.06,0,1,Full-Time,1,1,Design,High,4,Business,96,Finance,15,5,0,Self-Employed
S0116,28,Female,Arts,3,Region C,2.89,0,0,Internship,1,1,Finance,Low,2,Healthcare,51,Design,76,3,1,Employed
S0117,22,Female,Engineering,4,Region B,3.01,1,0,Full-Time,1,1,Design,High,3,Finance,34,Tech,88,9,0,Employed
S0118,27,Female,Science,5,Region C,2.23,1,0,Part-Time,1,1,Finance,High,5,Business,68,Finance,93,3,0,Employed
S0119,24,Female,Arts,5,Region B,2.34,1,1,Internship,0,1,Design,Medium,2,Healthcare,4,Tech,52,2,1,Unemployed
S0120,27,Male,Law,2,Region B,2.7,1,1,Internship,1,1,Business,Medium,4,Design,99,Design,55,5,0,Self-Employed
S0121,26,Male,Science,5,Region A,3.52,0,0,Part-Time,1,1,Finance,Medium,1,Finance,16,Healthcare,6,9,0,Self-Employed
S0122,29,Male,Law,5,Region A,3.01,0,1,Internship,1,1,Healthcare,Medium,4,Finance,52,Tech,56,8,0,Employed
S0123,24,Male,Business,3,Region C,3.28,1,0,Part-Time,1,1,Business,High,7,Design,51,Design,54,6,0,Employed
S0124,26,Female,Science,3,Region B,3.97,0,0,Internship,0,1,Healthcare,Medium,3,Tech,13,Education,51,3,1,Self-Employed
S0125,25,Female,Business,2,Region A,3.54,1,1,Internship,0,1,Design,Low,10,Healthcare,28,Finance,3,6,0,Unemployed
S0126,29,Male,Science,1,Region C,2.87,1,0,Part-Time,1,1,Healthcare,High,8,Design,7,Design,42,5,1,Employed
S0127,19,Male,Science,2,Region A,2.89,0,1,Part-Time,1,1,Business,Medium,6,Finance,97,Education,39,1,1,Unemployed
S0128,18,Male,Business,2,Region A,3.24,0,1,Internship,1,0,Finance,High,6,Healthcare,0,Tech,29,5,1,Employed
S0129,24,Female,Arts,4,Region B,3.33,1,1,Internship,1,1,Tech,Medium,1,Healthcare,28,Tech,9,7,0,Employed
S0130,24,Female,Engineering,4,Region B,3.0,0,0,Part-Time,0,1,Healthcare,High,5,Tech,35,Education,93,9,1,Unemployed
S0131,25,Male,Law,2,Region A,3.29,0,0,Part-Time,1,1,Tech,Medium,3,Finance,50,Education,6,1,0,Unemployed
S0132,22,Female,Science,2,Region A,2.05,1,1,Internship,0,1,Healthcare,Low,10,Business,36,Finance,35,3,1,Unemployed
S0133,20,Female,Law,2,Region B,2.86,1,0,Internship,1,1,Healthcare,Medium,1,Tech,92,Tech,34,8,1,Unemployed
S0134,29,Male,Business,5,Region C,2.56,0,0,Internship,0,1,Finance,High,8,Tech,68,Education,87,6,0,Self-Employed
S0135,25,Female,Law,4,Region B,2.26,1,1,Part-Time,1,1,Design,High,7,Business,52,Healthcare,38,5,1,Self-Employed
S0136,23,Female,Business,2,Region A,2.2,1,1,Internship,0,1,Business,Low,7,Business,95,Healthcare,35,10,1,Employed
S0137,28,Male,Law,3,Region C,3.21,1,1,Full-Time,1,1,Business,High,10,Tech,51,Education,19,2,1,Employed
S0138,20,Male,Engineering,3,Region A,3.05,1,0,Part-Time,1,1,Business,Low,10,Healthcare,87,Finance,48,3,0,Employed
S0139,18,Male,Engineering,5,Region C,2.51,1,1,Internship,1,1,Design,High,10,Design,82,Tech,95,2,1,Self-Employed
S0140,20,Male,Engineering,5,Region A,2.94,1,0,Part-Time,1,1,Tech,High,4,Design,11,Healthcare,58,1,1,Unemployed
S0141,22,Female,Engineering,1,Region C,2.98,0,0,Full-Time,1,1,Business,Low,6,Tech,51,Education,48,7,0,Employed
S0142,20,Female,Engineering,1,Region C,2.39,0,1,Part-Time,0,1,Tech,High,9,Healthcare,0,Education,89,3,1,Self-Employed
S0143,18,Male,Engineering,1,Region A,3.3,1,1,Internship,1,1,Design,High,3,Business,6,Design,25,7,0,Employed
S0144,22,Male,Business,5,Region C,3.56,1,1,Full-Time,1,1,Design,Low,9,Tech,16,Education,35,7,0,Self-Employed
S0145,27,Male,Science,5,Region B,3.58,0,1,Full-Time,0,1,Finance,Medium,4,Finance,97,Finance,42,8,1,Unemployed
S0146,24,Male,Law,5,Region A,3.2,1,1,Internship,0,1,Business,Low,5,Healthcare,42,Healthcare,98,1,1,Self-Employed
S0147,24,Female,Engineering,3,Region B,3.02,1,1,Internship,1,1,Finance,High,7,Finance,70,Design,42,5,1,Unemployed
S0148,28,Male,Business,5,Region A,2.12,1,1,Internship,1,1,Business,Medium,6,Finance,16,Healthcare,98,10,1,Employed
S0149,26,Male,Business,3,Region C,2.58,1,1,Part-Time,1,1,Design,Medium,10,Tech,58,Healthcare,75,9,0,Unemployed
S0150,27,Male,Business,1,Region C,2.19,1,1,Part-Time,1,0,Design,Medium,8,Healthcare,2,Finance,32,7,0,Self-Employed
S0151,27,Female,Science,1,Region C,3.93,0,1,Part-Time,0,1,Healthcare,Low,8,Finance,28,Education,99,1,1,Employed
S0152,29,Male,Law,1,Region A,2.27,0,1,Internship,0,1,Healthcare,Medium,8,Healthcare,21,Finance,77,8,0,Employed
S0153,20,Female,Science,2,Region B,2.3,1,0,Internship,1,1,Design,Medium,3,Design,37,Education,96,3,1,Self-Employed
S0154,24,Male,Arts,2,Region B,3.78,0,1,Part-Time,0,1,Design,Medium,10,Finance,53,Design,44,4,1,Unemployed
S0155,18,Female,Business,4,Region A,3.89,1,0,Full-Time,1,1,Tech,High,6,Finance,92,Finance,44,4,0,Self-Employed
S0156,21,Female,Arts,4,Region A,3.53,1,1,Part-Time,1,1,Tech,Low,7,Healthcare,49,Finance,87,10,0,Unemployed
S0157,21,Male,Engineering,4,Region B,2.01,1,0,Full-Time,0,0,Finance,Low,9,Design,68,Tech,14,8,1,Unemployed
S0158,22,Male,Engineering,2,Region B,2.0,0,1,Internship,1,0,Healthcare,High,10,Finance,29,Finance,94,1,1,Employed
S0159,24,Female,Science,2,Region B,2.76,0,1,Internship,0,1,Healthcare,Medium,10,Tech,22,Tech,16,8,1,Unemployed
S0160,24,Female,Law,4,Region B,2.29,1,0,Part-Time,1,1,Design,High,4,Healthcare,84,Education,11,9,1,Employed
S0161,28,Male,Arts,4,Region A,2.04,1,0,Part-Time,0,1,Design,High,5,Healthcare,89,Education,21,9,1,Self-Employed
S0162,21,Female,Law,5,Region A,2.93,1,0,Internship,1,1,Finance,Medium,8,Finance,46,Education,22,5,0,Self-Employed
S0163,24,Female,Science,4,Region C,3.89,1,1,Part-Time,1,0,Healthcare,Medium,1,Design,20,Tech,89,4,0,Employed
S0164,28,Female,Engineering,5,Region B,2.65,1,0,Internship,1,1,Tech,Low,6,Finance,19,Education,77,4,1,Employed
S0165,20,Male,Law,3,Region C,3.32,1,0,Internship,1,1,Business,Medium,4,Business,22,Healthcare,11,9,0,Unemployed
S0166,23,Female,Law,2,Region A,3.3,0,0,Full-Time,0,0,Finance,High,5,Finance,67,Finance,67,8,0,Employed
S0167,29,Male,Engineering,4,Region A,2.5,0,1,Part-Time,1,0,Business,High,5,Business,20,Tech,50,10,1,Self-Employed
S0168,19,Female,Arts,2,Region C,3.3,1,0,Internship,1,0,Tech,Medium,2,Tech,20,Education,12,10,1,Employed
S0169,27,Male,Engineering,2,Region B,2.42,1,1,Part-Time,1,0,Tech,Low,8,Healthcare,0,Healthcare,56,7,0,Employed
S0170,26,Male,Law,2,Region B,2.24,1,0,Full-Time,0,1,Business,High,2,Healthcare,14,Finance,54,3,1,Employed
S0171,22,Male,Arts,3,Region B,3.4,1,1,Full-Time,1,0,Finance,Medium,4,Design,16,Finance,81,4,1,Unemployed
S0172,23,Female,Arts,1,Region B,2.23,1,0,Part-Time,0,1,Business,Low,5,Finance,50,Education,27,9,0,Employed
S0173,29,Male,Engineering,4,Region C,3.99,1,1,Part-Time,1,0,Finance,Low,1,Tech,62,Healthcare,43,8,1,Unemployed
S0174,29,Male,Law,1,Region C,2.37,1,0,Internship,0,1,Finance,High,6,Business,13,Tech,18,1,0,Unemployed
S0175,29,Male,Science,1,Region A,3.19,1,1,Full-Time,1,1,Design,High,2,Design,58,Education,45,3,1,Employed
S0176,29,Female,Law,1,Region B,2.82,1,1,Full-Time,0,1,Healthcare,Low,5,Tech,82,Finance,2,10,0,Unemployed
S0177,21,Other,Business,2,Region B,2.25,1,1,Full-Time,1,1,Healthcare,Low,6,Tech,49,Finance,82,2,1,Employed
S0178,28,Male,Science,5,Region B,2.06,1,1,Part-Time,1,1,Tech,Low,8,Business,33,Finance,19,2,0,Self-Employed
S0179,27,Female,Arts,2,Region C,3.25,0,1,Internship,0,1,Design,Medium,9,Business,5,Education,24,8,1,Self-Employed
S0180,24,Female,Science,2,Region B,3.61,0,1,Part-Time,1,0,Healthcare,High,6,Healthcare,48,Design,74,6,0,Unemployed
S0181,29,Female,Arts,1,Region C,3.68,1,1,Part-Time,0,1,Finance,Low,5,Finance,5,Design,55,6,1,Self-Employed
S0182,26,Male,Arts,2,Region B,2.97,1,0,Part-Time,1,1,Finance,High,4,Design,68,Design,80,4,1,Employed
S0183,24,Male,Science,1,Region B,3.55,1,1,Internship,1,1,Business,High,2,Finance,6,Healthcare,60,1,0,Unemployed
S0184,18,Male,Arts,5,Region A,3.35,1,1,Part-Time,1,0,Business,High,2,Design,96,Education,54,7,1,Employed
S0185,18,Male,Arts,4,Region B,3.45,1,0,Full-Time,1,1,Finance,Low,7,Tech,76,Finance,34,8,0,Unemployed
S0186,26,Male,Business,1,Region B,2.99,1,0,Full-Time,0,1,Finance,Medium,5,Business,50,Healthcare,77,2,1,Unemployed
S0187,28,Female,Law,5,Region A,3.27,1,0,Full-Time,1,0,Business,Low,7,Business,0,Design,58,2,0,Unemployed
S0188,26,Male,Law,4,Region C,3.61,1,1,Internship,0,1,Healthcare,High,1,Tech,12,Tech,38,1,1,Unemployed
S0189,21,Male,Business,3,Region C,2.8,0,0,Part-Time,1,0,Tech,Low,1,Tech,42,Healthcare,56,4,1,Self-Employed
S0190,26,Female,Science,1,Region B,3.61,1,0,Internship,1,1,Business,Low,5,Design,26,Healthcare,82,6,0,Self-Employed
S0191,20,Male,Engineering,1,Region C,3.18,1,0,Part-Time,1,1,Healthcare,High,2,Tech,70,Education,66,5,0,Self-Employed
S0192,24,Female,Engineering,3,Region B,2.33,1,1,Full-Time,0,1,Healthcare,High,8,Design,2,Healthcare,33,4,1,Unemployed
S0193,23,Female,Engineering,3,Region A,2.05,1,1,Part-Time,1,1,Healthcare,Low,3,Finance,57,Education,40,4,1,Self-Employed
S0194,25,Male,Business,1,Region A,2.73,1,0,Part-Time,1,1,Design,Low,1,Business,88,Tech,21,10,1,Unemployed
S0195,28,Female,Business,3,Region B,3.09,0,0,Part-Time,0,0,Design,Low,2,Business,96,Finance,26,7,0,Self-Employed
S0196,26,Female,Arts,2,Region A,3.68,1,0,Internship,1,1,Healthcare,Low,10,Business,16,Finance,20,7,1,Unemployed
S0197,22,Female,Engineering,4,Region A,2.25,1,1,Part-Time,1,1,Finance,Medium,10,Finance,44,Design,40,2,0,Self-Employed
S0198,18,Female,Science,4,Region B,3.6,1,1,Part-Time,1,1,Design,Low,7,Finance,77,Design,30,7,0,Self-Employed
S0199,20,Female,Science,4,Region B,3.73,0,1,Part-Time,1,1,Business,Medium,6,Healthcare,100,Tech,26,2,1,Self-Employed
S0200,27,Female,Engineering,2,Region A,2.3,0,0,Internship,1,0,Design,High,8,Design,57,Finance,36,4,0,Unemployed
S0201,29,Male,Engineering,3,Region C,3.7,0,1,Internship,0,1,Finance,Medium,7,Design,55,Design,65,1,1,Unemployed
S0202,25,Male,Engineering,5,Region C,3.98,0,1,Internship,1,1,Tech,High,10,Healthcare,53,Healthcare,53,5,1,Self-Employed
S0203,28,Male,Business,3,Region B,3.45,0,0,Part-Time,0,1,Design,Medium,8,Business,86,Education,8,1,1,Unemployed
S0204,23,Female,Business,1,Region B,3.57,1,0,Full-Time,1,1,Healthcare,High,3,Design,87,Design,82,4,1,Employed
